Código;Dueño;Marca;Modelo;Año;Color;Motor;Transmisión;Placa;Número VIN;DUA;Observaciones;Fecha de ingreso;Origen;Fecha de compra;Moneda de la compra;Costo de compra;Tipo de escritura de compra;Nº de escritura compra / Poder;Monto traspaso compra / Poder;Fecha de escritura de ingreso;Abogado compra;Valor fiscal compra;Unidad de renta;Precio base de venta;Estado;Fecha de venta;Escritura de venta;Abogado de la venta;Quién vende;Poder generalísimo;Moneda de la venta;Precio de la venta;Tipo de pago;Monto efectivo;Vehículo recibido;Precio recibido;Financiamiento;Número de prenda;Monto de la prenda;Vendedor;Monto de comisión;Fecha de escritura de venta;Valor fiscal de venta;Precio factura;Comprador;Tipo de identificación;Identificación;Celular comprador;Correo comprador;Domicilio;Provincia;Cantón;Distrito;Medio de contacto;Estado de facturación
AL11;Ana Morales;Kia;Rio;2019;Negro;Gasolina;Automático;MNO321;5XYZT3LB5EG123456;DUA13579;Leves rayones;8/4/2023;Importado;5/4/2023;Colones;9800;Escritura pública;1122;250.0;8/4/2023;Lic. Quesada;9000.0;Puntarenas;11500000.0;Vendido;1/5/2023;ESCR789;Lic. Rojas;LDA;No aplica;Colones;11500000.0;Efectivo y recibe;500000.0;AL4;1100000.0;;;;;600.0;28/4/2023;10000.0;13000000.0;Laura Vega;Pasaporte;PA1234567;62222200.0;laura.vg@example.com;Barrio El Carmen;San José;San José;Catedral;Teléfono;Facturado
AL12;Andrea Salazar Jiménez;Chevrolet;N300;2020;Gris;Gasolina;Automático;BMS041;6456465;;;26/10/2025;ANC;TODO;Colones;TODO;TODO;TODO;;TODO;TODO;TODO;TODO;21500000.0;Reservado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pendiente
AL13;Autos Luis;BYD;Atto 3;2017;Morado;Gasolina;Automático;701480;;;;26/10/2025;Comprado;;Dólares;;-;;;;-;;No;;Disponible;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pendiente
AL14;Autos Luis;BMW;5 Series;2022;Blanco;Diésel;Automático;VAQ211;;;;27/10/2025;ANC;;Colones;;-;;;;-;;-;2300000.0;Disponible;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL15;Autos Luis;Chevrolet;Tracker;2001;Azul;Diésel;Manual;XYZ041;;;;27/10/2025;Recibido;;Colones;;-;;;;-;;-;3600000.0;Prestado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL16;Autos Luis;Pontiac;Sunfire;1997;Rojo;Diésel;Manual;ASD212;;;;27/10/2025;ANC;;Dólares;;-;;;;-;;-;1900000.0;Prestado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL17;Autos Luis;Audi;Q3;2021;Blanco;Diésel;Automático;QEQ132;;;;27/10/2025;ANC;;Colones;;-;;;;-;;-;14320000.0;Devuelto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL18;ANC;Volvo;XC60;2013;Blanco;Diésel;Manual;ASD456;;;Camanance puerta derecha de atrás;27/10/2025;ANC;;Colones;;-;;;;-;;-;6200000.0;Disponible;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL19;Juan Diego González;Honda;CR-V;2016;Negro;Diésel;Manual;mjs041;;;;6/11/2025;Recibido;;Colones;;-;;;;-;;No;5100000.0;Disponible;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL20;Autos Luis;Fiat;500;2017;Gris;;;ASDASD;;;;10/11/2025;Importado;;Colones;;-;;;;-;;-;2700000.0;Disponible;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL21;Autos Luis;Geely;Coolray;1995;Gris;Gasolina;Manual;JAD621;;;;10/11/2025;Comprado;;Colones;;-;;;;-;;-;2200000.0;Disponible;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
